FEATURE_ID	FEATURE_TEXT	FEATURE_HASH	ENGINE	SOURCE_SECTION	SOURCE_LINE
F-000057	- استيراد البيانات خصوصًا Excel	193a00bf995783d4605689d87955e41a58fb47c0c495d569d4b43f029432d2bf	Data Engine	1.1 المصادر المدعومة	578
F-000058	- دمج مع Gmail وNotion وGoogle Drive عبر الموصلات	3f34841f550aa5501cc699edaad362998577ef0e56563cc94c3eca63b8d1a84b	Data Engine	1.1 المصادر المدعومة	579
F-000059	- دمج مع Browser Operator لجمع بيانات المنافسين	8d60b4fb915ac4de106a41fddb894453cc70e8f4ba550c7797cb17609b3e8850	Data Engine	1.1 المصادر المدعومة	580
F-000060	- استيراد التصاميم من Canva	41b2c3ad9040b1afae3052f39f30b43dd107994ad7cbb1cc178e3d19297343d2	Data Engine	1.1 المصادر المدعومة	581
F-000061	- سحب وإفلات ملفات متعددة Excel دفعة واحدة	42122b1855e58a0bd2e990b9d494b74c2b1a85d35c8aa383052904453f353ac4	Data Engine	1.1 المصادر المدعومة	582
F-000062	- رفع 10 ملفات شهرية ودمجها تلقائيًا	c2e550d533b1d988e3b8026cd852c3a6cf7c85d72cc8225b20222db019890e42	Data Engine	1.1 المصادر المدعومة	583
F-000063	- استخراج جدول موحد من ملفات متعددة	20c085220d0ee39e7c460731c79017b6bddad647848906b101674ff13f1c9328	Data Engine	1.1 المصادر المدعومة	584
F-000064	- رفع مجلد كامل وليس فقط ملفات منفردة	b07bedb4ddc6f193254e794cb5b3ce4f983095a87da051edce5b947fc82b9ce6	Data Engine	1.1 المصادر المدعومة	585
F-000065	- قراءة جميع الشيتات تلقائيًا مع عرض خريطة محتوى	f01696d60dbe188a7ec69c606d9ffa5ed2d0e4559c1a7e3ebfe1ffd9e349896e	Data Engine	1.1 المصادر المدعومة	586
F-000066	- يسحب 50 ملف Excel	cd2cbfa8cf62e480c4b0b53c73b88cb1279e386317179151260d87e89fe12b82	Data Engine	1.1 المصادر المدعومة	587
F-000067	- رفع 500 ملف Excel مختلفة المحتوى بضغطة زر واحدة	8f3726c24240111e7b7e951bb9542df7a640162659b0b3f15e6a76f6c05f9527	Data Engine	1.1 المصادر المدعومة	588
F-000068	- رفع ملفات متعددة	c59cf592d8c9102c1cfee6d52896457f040957eca05cedf65cadf12c8e1aa497	Data Engine	1.1 المصادر المدعومة	589
F-000069	- دعم جميع أنواع الملفات (Excel, CSV, TXT, Word, PDF, Images, APIs, DBs)	2bc2a852186c678e46abd30b36904a337563d447d179f03ebd7898a11b08a3a3	Data Engine	1.1 المصادر المدعومة	590
F-000070	- قراءة ملفات متعددة الأنواع معًا	ba354dc5d8fafb597590ee0b1c8a920921dc9f807c8b2d5d8f059f89d2c3077e	Data Engine	1.1 المصادر المدعومة	591
F-000071	- سحب ملف لإرفاقه في مراسلة أو تقرير أو صفحة أو مهمة	8be6f8f32fe784bce3666fa3b41a02a7c2a2b316921755324ac13711f7c1c46c	Data Engine	1.1 المصادر المدعومة	592
F-000072	- سحب ملفات إلى مجلد ذكي لإنشاء قاعدة تصنيف	6edefde5f0ff8542fdd0ae2a32117063de96ae37b4d4a088543bf5d61a0e488b	Data Engine	1.1 المصادر المدعومة	593
F-000073	- سحب قالب وإفلاته لإنشاء تقرير أو مراسلة أو لوحة جديدة	b8f425e617d2e9afe4454535c2562c82f16f3cd657cb9bbfe3cbc44e6aafdc98	Data Engine	1.1 المصادر المدعومة	594
F-000074	- سحب حقل إلى فلتر أو محور تجميع داخل تقرير أو لوحة	1cc56d27313b15a925aa72ad21cc3f045c1e5590c0d66cb964b7a6f16e56d7a7	Data Engine	1.1 المصادر المدعومة	595
F-000075	- سحب صفحة داخل شجرة الصفحات لتغيير التسلسل	d9fddd6f6071e81bc2cbe3b26ebc9a35dca517890bb3bacacefdd8c1b824cc65	Data Engine	1.1 المصادر المدعومة	596
F-000076	- سحب Feature Flag على مجموعة مستخدمين أو أدوار لاستهدافهم	971295760fe10c006eaadf10127218cdca4341def9696fad9b2cf06fe6dd4639	Data Engine	1.1 المصادر المدعومة	597
F-000077	- سحب مزود SMS أو Email إلى Notification Channel Stack لتفعيلها	a7d197e2a54ab94d7617d1e0944362809c3dbc2ce7440b089f2c4ce133790017	Data Engine	1.1 المصادر المدعومة	598
F-000078	- سحب لون أو Token وإفلاته على مكوّن لتطبيقه	93bce232e98af4c562809c43f1a9b461e6a0a05d512073bb28e97e5ac793ed09	Data Engine	1.1 المصادر المدعومة	599
F-000079	- سحب Theme وإفلاته على وحدة لتفعيل ثيم خاص بها	fbe672195635ebac45c84535580a569e01df3924a6fb218014c4b2cd6a9521c0	Data Engine	1.1 المصادر المدعومة	600
F-000080	- سحب Permission Chip على دور لإضافته	f2acebfe7a047741d4ba74f30264c0b65b3344dd30529cbedc0eb9cc19f28d60	Data Engine	1.1 المصادر المدعومة	601
F-000081	- سحب مستخدم إلى قسم لتفعيل سياسات رؤية بيانات القسم	0eda82964fd03bb8e8aefa69737d1f122b28bc870d0c5265d1b4e4cd6e1b8418	Data Engine	1.1 المصادر المدعومة	602
F-000082	- سحب مراسلة على Workflow Template لتطبيق مسار اعتماد	6b1d9fb82c54b10b351942936ec4395e9b23b048b52984d59797e658ac8ae35d	Data Engine	1.1 المصادر المدعومة	603
F-000083	- سحب مراسلة على Schedule Slot لجدولة الإرسال	3eb42a1e0111b11891d799aba3aa9be71a225b0cb52fc801c9d7cfc2019ba785	Data Engine	1.1 المصادر المدعومة	604
F-000084	- سحب تصعيد على فريق لتغيير المالك مع تحقق صلاحيات	b4f080c4a1d29c7a673a891860c58e066eaa099b39ea61595f0991bc026dd177	Data Engine	1.1 المصادر المدعومة	605
F-000085	- رفع ملفات Excel شهرية مع فهرسة تلقائية	3244b3030248fb8fb12ce454014a8b6cb4e040a192fab8138023764c4470809e	Data Engine	1.1 المصادر المدعومة	606
F-000086	- دعم Data Connectors لإنشاء SheetForge مكتمل	443a73df3c16e209c2445959c7310178d7f70c2408766f9898b13d274bdb41a7	Data Engine	1.1 المصادر المدعومة	607
F-000087	- عدم تخزين بيانات Excel ثنائية في قاعدة البيانات	d6b8ac3013ad7559d057830ddce57c11ad1faf2cfa5f1e78aefc3780bdabab5f	Data Engine	1.1 المصادر المدعومة	608
F-000088	- دعم رفع ملفات Excel مع فهرسة تلقائية لبناء قواعد بيانات موحدة	54c6ff4de8dd35bd641cede6c515fd219b1e14e6729f2ac79bd31e31cf4fad86	Data Engine	1.1 المصادر المدعومة	609
F-000089	- قراءة أي ملف	ae564af0a87d0ac3300b32909c7f8bb07f0d949cb9655d05787157ccdbe2ed7a	Data Engine	1.1 المصادر المدعومة	610
F-000090	- دعم ملفات PDF منسقة وممسوحة ضوئياً	9a63e0d4b3421c28bed120b1763bb6afd8b36c41960b71812066f0814f820785	Data Engine	1.1 المصادر المدعومة	611
F-000091	- دعم ملفات مضغوطة متعددة	2d74f9d26d6289dc2517c26758c5bd658db165da00b921df2c341e3756450cfe	Data Engine	1.1 المصادر المدعومة	612
F-000092	- دعم مجلدات كاملة	b2dcaf5c4f784b808a59d4e652fffcacf62563d670184b51bd138e39fab14116	Data Engine	1.1 المصادر المدعومة	613
F-000093	- دعم روابط مباشرة	e6f2d48441fa52d3cf684d833a1f4b71f4a46b9dc3bdeaecf6f97ef262413d48	Data Engine	1.1 المصادر المدعومة	614
F-000094	- استيراد العروض من PowerPoint	868bab596406a462c94463d846f6c3bd4ff07c68662c1763839a271b6ebde35c	Data Engine	1.1 المصادر المدعومة	615
F-000095	- استيراد العروض من Google Slides	c2e2935218107ae262a0c00a15a52dec242d4f24b64ec2ca813a7f6d7d2cba35	Data Engine	1.1 المصادر المدعومة	616
F-000096	- استخراج بيانات من صور ومستندات ممسوحة	a5f3e8079e94e037e631d640f379001372ba6dd43d3235d49101fea67463b0bd	Data Engine	1.1 المصادر المدعومة	617
F-000097	- استخراج بيانات من صور وفواتير ومستندات ممسوحة	7abbd97e525092262325745dd1aed4885a0f31423fe2001e15c18f9306a9dde8	Data Engine	1.1 المصادر المدعومة	618
F-000098	- تصدير PDF / صورة	2dbc9225c09a8cb3cc9ab6ce8466fd6639e9dbe11049168be1f7bde05aa550cb	Data Engine	1.1 المصادر المدعومة	619
F-000099	- يحدد نوع الملف (مالي، موارد بشرية، مبيعات…)	5fe5172a3929912816521ddd241db7eb5bd6f278c69eedce2e4642e7b954648e	Data Engine	1.1 المصادر المدعومة	620
F-000100	- التعرف على نوع كل ملف (مبيعات، موارد بشرية، مشاريع، مالية…)	c5502fe9ec5fa29e64f2d6a431d63e0ae7313adfb92e8501abdb4eedde0abd97	Data Engine	1.1 المصادر المدعومة	621
F-000101	- دعم تعدد العملاء (Multi-tenant) من البداية	3fd5b269de0fa03894f5180d4d4081871e83a6735a93a45b048ffaa1431cf0d9	Data Engine	1.1 المصادر المدعومة	622
F-000102	- جميع الكتابات تتم عبر K3.	b4f1f3445ea9d4a62a9fd505ecb0a53b2f0e73587fe071a40b14586e64b049ce	Data Engine	1.1 المصادر المدعومة	623
F-000103	- استيراد ملفات اكسل بجميع أنواعها القديمة والحديثة	818c38eff7538217b12bf041777a1f7d15bd309cf4a574aae2bc06f49213be7d	Data Engine	1.1 المصادر المدعومة	624
F-000104	- استيراد ملفات القيم المفصولة بفواصل وملفات النصوص المنظمة	c6ae070e26ab3d07721fd2b4658b333618b34210d5e9caa1351b64d3c153ec47	Data Engine	1.1 المصادر المدعومة	625
F-000105	- استيراد ملفات المستندات المحمولة واستخلاص البيانات منها	44efc37ff88294a1ac231cc55818e88a475668cce3a7917deaf9214710a291c9	Data Engine	1.1 المصادر المدعومة	626
F-000106	- استيراد ملفات وورد واستخلاص الجداول والنصوص منها	505fe4788437581c5fe76c333eb29093adf5b71066088b011d60028751c55c78	Data Engine	1.1 المصادر المدعومة	627
F-000107	- استيراد الصور واستخلاص البيانات منها باستخدام التعرف البصري على النصوص	8f781ba0b723295f671ec8c3dd3fd9a2b4e62c6aa3b0c47279ce31a994a5d326	Data Engine	1.1 المصادر المدعومة	628
F-000108	- استيراد البيانات من قواعد البيانات مباشرة	690f2e41bb9c9d2e4b8e955894f78042e3e9a60db2c6a381acca89c29f749cd1	Data Engine	1.1 المصادر المدعومة	629
F-000109	- استيراد البيانات من واجهات ربط خارجية	c97a146d31c995aa9fce6b1fc73a7f4a7caf99f410fe791a0b128d5db9c7cb10	Data Engine	1.1 المصادر المدعومة	630
F-000110	- استيراد البيانات من صفحات الانترنت عبر الاستخلاص التلقائي	0b04ec7e0083cff589c8e49bed811c92a1611b8fcd71b3bd3b0fb8b7050c8fcf	Data Engine	1.1 المصادر المدعومة	631
F-000111	- استيراد ملفات العروض التقديمية واستخلاص المحتوى منها	20e82b8c124955987e88a020c8c29be5ee95785d9eabfc0287744d6ad2cbf2a7	Data Engine	1.1 المصادر المدعومة	632
F-000112	- دعم استيراد ملفات ضخمة تتجاوز ملايين الصفوف	ad7978958185e9961bcd2c922fdd2ac4aecc924a5d42381a5780e26e3caebc56	Data Engine	1.1 المصادر المدعومة	633
F-000113	- رفع وتجميع ملفات اكسل مع تنظيم بمشاريع ومجلدات ووسوم	11e469ae683a6a2ec5fb512b68a350d64839e0b3340556f1fb676ae0891b6bb2	Data Engine	1.1 المصادر المدعومة	634
F-000114	- فهرسة تلقائية للأوراق والجداول والنطاقات والأعمدة والأنواع والقيم المرجعية	a6e429303fc6c44ae0f0c91e73c2cb09cb30995b340a394ff13d574b9af6fe0e	Data Engine	1.1 المصادر المدعومة	635
F-000115	- دمج بيانات متعددة المصادر في تقرير واحد	16863ad15da31a4fcea7f078e53cf63853e6d8cc84bffad457800eb923c6e9f5	Data Engine	1.1 المصادر المدعومة	636
F-000116	- ربط التقرير بمصدر بيانات حي يتحدث تلقائيا	41500edca32499b6e030f4de749753165b51861f2ffe2c15e5107441b5c0a8b1	Data Engine	1.1 المصادر المدعومة	637
F-000117	- تعريف الأبعاد والحقائق والعلاقات بين البيانات	2a826fa04f25457bd2cfc064be369fac78892cbc67c7b18e51a19e33b6b98cdc	Data Engine	1.1 المصادر المدعومة	638
F-000118	- ذكاء زمني جاهز للتحليل	ce70f0a1afc0f01208841eeb8ffe51759ab5aef5c5f74d814125d65815802593	Data Engine	1.1 المصادر المدعومة	639
F-000119	- سجل مؤشرات الأداء يشمل التعريف والمعادلة والمالك والنطاق والأهداف والحساسية وتاريخ التغير	c3f15377b4e12f8d5c3aa671830065a06d91fd6a58708421e062d3c89c236b50	Data Engine	1.1 المصادر المدعومة	640
F-000120	- إصدارات لتعريفات مؤشرات الأداء	99e2cca09b4376ebaf58f62d2e23bea23932539be8cd67368a5e2a21e269f433	Data Engine	1.1 المصادر المدعومة	641
F-000121	- سير موافقات لتعديل تعريفات المؤشرات	956aa6c0152a8796457515bffb1f423eb6564a64b858f4de8274e468bb23bec0	Data Engine	1.1 المصادر المدعومة	642
F-000122	- تصنيف حساسية المؤشر	563567f4723bea994bc61a6ea741b3768258a14ba33c681e2b6bde42145fcccd	Data Engine	1.1 المصادر المدعومة	643
F-000123	- معاينة تأثير التغيير على المؤشر قبل التطبيق	f44a08505dcd020b42832195b47ba090dc50f75a9759a263e75f8f6f05b74729	Data Engine	1.1 المصادر المدعومة	644
F-000124	- ملكية ومسؤولية واضحة لكل مؤشر	c4557d928eaeaeeabb6700b133cd2551e04249f7d1594b98c8ec5eef227fb291	Data Engine	1.1 المصادر المدعومة	645
F-000125	- حقول محسوبة مع دوال وشروط	a150103d9f001c03733865fde323686d31d637fa004f02a9ec65c9aea11f13d4	Data Engine	1.1 المصادر المدعومة	646
F-000126	- ربط مصادر متعددة بدون تعقيد	7c8daf606a7b26b751940fc78eeae8a7306bf00fac3a9018f2eb7034e3de937e	Data Engine	1.1 المصادر المدعومة	647
F-000127	- سجل دلالي موحد للمؤشرات يتضمن تعريفات وقواعد تجميع ومستويات هرمية ونمذجة أبعاد	323302897f271e5591d349899cad8dcfd3dc278aa2bdaac1b79c52048266de69	Data Engine	1.1 المصادر المدعومة	648
F-000128	- تعريف مجموعات البيانات والمقاييس والأبعاد والحسابات والربط بين المصادر	fce6d63835d0ecf618f9957d14849fd6875a236c7090b9b331c6a938fc76e8a4	Data Engine	1.1 المصادر المدعومة	649
F-000129	- فلاتر معيارية قابلة للحفظ	b4e074a3a10270cf8bdad1db52a4aff618929153a6237d1eed74e1ee6a29127b	Data Engine	1.1 المصادر المدعومة	650
F-000130	- استيراد ملفات بصيغ مختلفة	f8882fc8be603f1fde68c8e44496b1487c586606b9a840b9933cc50c3ccb47e8	Data Engine	1.1 المصادر المدعومة	651
F-000131	- ربط بواجهات ربط خارجية مع مفاتيح وقيود	5cefd428060cd64852b7601e6b3425059fa20e8891984928535cba8acac402a0	Data Engine	1.1 المصادر المدعومة	652
F-000132	- تحويل البيانات وربط حقول المصدر بحقول المنصة	110776ab13ac67911699101541c23022b7d9d958dc9846be80ba2558d1b9d581	Data Engine	1.1 المصادر المدعومة	653
F-000133	- مزامنة دورية تلقائية كل ساعة أو يوم أو أسبوع	c174552f026f63ce06ebe8a7803db6d3c31d4e7bcf41ba59947f6988d6771f30	Data Engine	1.1 المصادر المدعومة	654
F-000134	- سجل المزامنة يشمل النجاح والفشل وتفاصيل الأخطاء وإعادة التشغيل	2deaf6d31477d271e95f626bbf5c9ad96fb57f5e3915f7791a770377af8a4e2c	Data Engine	1.1 المصادر المدعومة	655
F-000135	- دليل الجهات يشمل الوزارات والهيئات والشركات مع جهات الاتصال	a739e1b83083c315332d01f90eed5bd2ed00d7899d26d1c89a5ecc80d7b0647d	Data Engine	1.1 المصادر المدعومة	656
F-000136	- إدخال متعدد يشمل النص والصوت والصور والملفات	6003e2b5f4fcba6da8ff1f04dce0d98ae69487c6dcd97a83fc77edaa9fed1543	Data Engine	1.1 المصادر المدعومة	657
F-000137	- تحليل ملفات اكسل تلقائيا مع رسوم بيانية	c5eeeee494e900fff34b5a03de1c241471aed7a5deb68efd8a797d1ece209e27	Data Engine	1.1 المصادر المدعومة	658
F-000138	- دعم قنوات إضافية مثل واتساب	67a7cca9a73299084ce3787a7a172a68a698e5e83654e013153c0d81656892dc	Data Engine	1.1 المصادر المدعومة	659
F-000139	- رفع ملفات متعددة بالسحب والإفلات	733c72c7bd70ba591309f1fc1c329a28b1b020d538a8caa7979db2fa2c27c7cf	Data Engine	1.1 المصادر المدعومة	660
F-000140	- معاينة الملفات بدون تحميل	c99177b37250b41a56b753c8d568e5b51c0247660a0b0bf5a06ab2c5dbe9c204	Data Engine	1.1 المصادر المدعومة	661
F-000141	- بحث بالاسم والنوع والتاريخ والمحتوى	d247ceafcedc9891644a9411f3011db935407a441619e84090b9b54512efca62	Data Engine	1.1 المصادر المدعومة	662
F-000142	- فهرسة الملفات تلقائيا للبحث الذكي مع مراعاة الصلاحيات	49a16ee9f0ff083a8629f457978642b02ffa3d994c53f704de84a55b21dcc00c	Data Engine	1.1 المصادر المدعومة	663
