FEATURE_ID	FEATURE_TEXT	SOURCE_SECTION	SOURCE_LINE
F-000083	- سحب مراسلة على Schedule Slot لجدولة الإرسال	1.1 المصادر المدعومة	604
F-000084	- سحب تصعيد على فريق لتغيير المالك مع تحقق صلاحيات	1.1 المصادر المدعومة	605
F-000085	- رفع ملفات Excel شهرية مع فهرسة تلقائية	1.1 المصادر المدعومة	606
F-000086	- دعم Data Connectors لإنشاء SheetForge مكتمل	1.1 المصادر المدعومة	607
F-000087	- عدم تخزين بيانات Excel ثنائية في قاعدة البيانات	1.1 المصادر المدعومة	608
F-000088	- دعم رفع ملفات Excel مع فهرسة تلقائية لبناء قواعد بيانات موحدة	1.1 المصادر المدعومة	609
F-000089	- قراءة أي ملف	1.1 المصادر المدعومة	610
F-000090	- دعم ملفات PDF منسقة وممسوحة ضوئياً	1.1 المصادر المدعومة	611
F-000091	- دعم ملفات مضغوطة متعددة	1.1 المصادر المدعومة	612
F-000092	- دعم مجلدات كاملة	1.1 المصادر المدعومة	613
F-000093	- دعم روابط مباشرة	1.1 المصادر المدعومة	614
F-000094	- استيراد العروض من PowerPoint	1.1 المصادر المدعومة	615
F-000095	- استيراد العروض من Google Slides	1.1 المصادر المدعومة	616
F-000096	- استخراج بيانات من صور ومستندات ممسوحة	1.1 المصادر المدعومة	617
F-000097	- استخراج بيانات من صور وفواتير ومستندات ممسوحة	1.1 المصادر المدعومة	618
F-000098	- تصدير PDF / صورة	1.1 المصادر المدعومة	619
F-000099	- يحدد نوع الملف (مالي، موارد بشرية، مبيعات…)	1.1 المصادر المدعومة	620
F-000100	- التعرف على نوع كل ملف (مبيعات، موارد بشرية، مشاريع، مالية…)	1.1 المصادر المدعومة	621
F-000101	- دعم تعدد العملاء (Multi-tenant) من البداية	1.1 المصادر المدعومة	622
F-000102	- جميع الكتابات تتم عبر K3.	1.1 المصادر المدعومة	623
F-000103	- استيراد ملفات اكسل بجميع أنواعها القديمة والحديثة	1.1 المصادر المدعومة	624
F-000104	- استيراد ملفات القيم المفصولة بفواصل وملفات النصوص المنظمة	1.1 المصادر المدعومة	625
F-000105	- استيراد ملفات المستندات المحمولة واستخلاص البيانات منها	1.1 المصادر المدعومة	626
F-000106	- استيراد ملفات وورد واستخلاص الجداول والنصوص منها	1.1 المصادر المدعومة	627
F-000107	- استيراد الصور واستخلاص البيانات منها باستخدام التعرف البصري على النصوص	1.1 المصادر المدعومة	628
F-000108	- استيراد البيانات من قواعد البيانات مباشرة	1.1 المصادر المدعومة	629
F-000109	- استيراد البيانات من واجهات ربط خارجية	1.1 المصادر المدعومة	630
F-000110	- استيراد البيانات من صفحات الانترنت عبر الاستخلاص التلقائي	1.1 المصادر المدعومة	631
F-000111	- استيراد ملفات العروض التقديمية واستخلاص المحتوى منها	1.1 المصادر المدعومة	632
F-000112	- دعم استيراد ملفات ضخمة تتجاوز ملايين الصفوف	1.1 المصادر المدعومة	633
F-000113	- رفع وتجميع ملفات اكسل مع تنظيم بمشاريع ومجلدات ووسوم	1.1 المصادر المدعومة	634
F-000114	- فهرسة تلقائية للأوراق والجداول والنطاقات والأعمدة والأنواع والقيم المرجعية	1.1 المصادر المدعومة	635
F-000115	- دمج بيانات متعددة المصادر في تقرير واحد	1.1 المصادر المدعومة	636
F-000116	- ربط التقرير بمصدر بيانات حي يتحدث تلقائيا	1.1 المصادر المدعومة	637
F-000117	- تعريف الأبعاد والحقائق والعلاقات بين البيانات	1.1 المصادر المدعومة	638
F-000118	- ذكاء زمني جاهز للتحليل	1.1 المصادر المدعومة	639
F-000119	- سجل مؤشرات الأداء يشمل التعريف والمعادلة والمالك والنطاق والأهداف والحساسية وتاريخ التغير	1.1 المصادر المدعومة	640
F-000120	- إصدارات لتعريفات مؤشرات الأداء	1.1 المصادر المدعومة	641
F-000121	- سير موافقات لتعديل تعريفات المؤشرات	1.1 المصادر المدعومة	642
F-000122	- تصنيف حساسية المؤشر	1.1 المصادر المدعومة	643
F-000123	- معاينة تأثير التغيير على المؤشر قبل التطبيق	1.1 المصادر المدعومة	644
F-000124	- ملكية ومسؤولية واضحة لكل مؤشر	1.1 المصادر المدعومة	645
F-000125	- حقول محسوبة مع دوال وشروط	1.1 المصادر المدعومة	646
F-000126	- ربط مصادر متعددة بدون تعقيد	1.1 المصادر المدعومة	647
F-000127	- سجل دلالي موحد للمؤشرات يتضمن تعريفات وقواعد تجميع ومستويات هرمية ونمذجة أبعاد	1.1 المصادر المدعومة	648
F-000128	- تعريف مجموعات البيانات والمقاييس والأبعاد والحسابات والربط بين المصادر	1.1 المصادر المدعومة	649
F-000129	- فلاتر معيارية قابلة للحفظ	1.1 المصادر المدعومة	650
F-000130	- استيراد ملفات بصيغ مختلفة	1.1 المصادر المدعومة	651
F-000131	- ربط بواجهات ربط خارجية مع مفاتيح وقيود	1.1 المصادر المدعومة	652
F-000132	- تحويل البيانات وربط حقول المصدر بحقول المنصة	1.1 المصادر المدعومة	653
F-000133	- مزامنة دورية تلقائية كل ساعة أو يوم أو أسبوع	1.1 المصادر المدعومة	654
F-000134	- سجل المزامنة يشمل النجاح والفشل وتفاصيل الأخطاء وإعادة التشغيل	1.1 المصادر المدعومة	655
F-000135	- دليل الجهات يشمل الوزارات والهيئات والشركات مع جهات الاتصال	1.1 المصادر المدعومة	656
F-000136	- إدخال متعدد يشمل النص والصوت والصور والملفات	1.1 المصادر المدعومة	657
F-000137	- تحليل ملفات اكسل تلقائيا مع رسوم بيانية	1.1 المصادر المدعومة	658
F-000138	- دعم قنوات إضافية مثل واتساب	1.1 المصادر المدعومة	659
F-000139	- رفع ملفات متعددة بالسحب والإفلات	1.1 المصادر المدعومة	660
F-000140	- معاينة الملفات بدون تحميل	1.1 المصادر المدعومة	661
F-000141	- بحث بالاسم والنوع والتاريخ والمحتوى	1.1 المصادر المدعومة	662
F-000142	- فهرسة الملفات تلقائيا للبحث الذكي مع مراعاة الصلاحيات	1.1 المصادر المدعومة	663
F-000143	- رفع وتحميل الملفات	1.1 المصادر المدعومة	664
F-000144	- تخزين سحابي أو محلي	1.1 المصادر المدعومة	665
F-000145	- بحث نصي في كل محتوى المساعدة	1.1 المصادر المدعومة	666
F-000146	- تحويل مواقع ويب إلى عروض شرائح	1.1 المصادر المدعومة	667
F-000147	- تحويل ملفات المستند المحمول إلى عروض شرائح قابلة للتحرير	1.1 المصادر المدعومة	668
F-000148	- تحويل ملفات وورد إلى عروض تقديمية ملخصة	1.1 المصادر المدعومة	669
F-000149	- تحويل ملفات اكسل إلى لوحات مؤشرات تفاعلية	1.1 المصادر المدعومة	670
F-000150	- تحويل ملفات المستند المحمول إلى ملفات وورد مطابقة	1.1 المصادر المدعومة	671
F-000151	- تحويل ملفات وورد إلى PDF مطابق	1.1 المصادر المدعومة	672
F-000152	- تحويل PDF إلى Word مطابق	1.1 المصادر المدعومة	673
F-000153	- تحويل ملفات وورد إلى عروض تقديمية	1.1 المصادر المدعومة	674
F-000154	- تحويل العرض التقديمي إلى مستند محمول	1.1 المصادر المدعومة	675
F-000155	- تحويل ملفات اكسل إلى مستند محمول مع الحفاظ على التنسيق	1.1 المصادر المدعومة	676
F-000156	- تحويل المستند المحمول إلى اكسل مع استخلاص البيانات	1.1 المصادر المدعومة	677
F-000157	- تحويل الصور إلى بيانات منظمة	1.1 المصادر المدعومة	678
F-000158	- تحويل بين جميع صيغ الجداول والنصوص	1.1 المصادر المدعومة	679
F-000159	- دعم التحويل الدفعي لملفات متعددة في وقت واحد	1.1 المصادر المدعومة	680
F-000160	- تحويل عروض شرائح إلى فيديو	1.1 المصادر المدعومة	681
F-000161	- تحويل عروض إلى صفحات ويب تفاعلية	1.1 المصادر المدعومة	682
F-000162	- تحويل مستندات إلى تقارير رسمية منسقة	1.1 المصادر المدعومة	683
F-000163	- تحويل صور إلى مستندات قابلة للتحرير	1.1 المصادر المدعومة	684
F-000164	- تحويل مستندات ممسوحة ضوئيا إلى نسخ نصية منظمة	1.1 المصادر المدعومة	685
F-000165	- تحويل عروض عربية إلى إنجليزية والعكس مع الحفاظ على التصميم	1.1 المصادر المدعومة	686
F-000166	- تحويل تقارير طويلة إلى ملخصات تنفيذية	1.1 المصادر المدعومة	687
F-000167	- تحويل بيانات خام إلى عروض تنفيذية	1.1 المصادر المدعومة	688
F-000168	- تحويل عروض إلى محتوى تدريبي	1.1 المصادر المدعومة	689
F-000169	- تحويل مستندات إلى قوالب قابلة لإعادة الاستخدام	1.1 المصادر المدعومة	690
F-000170	- تحويل مستندات إلى صيغ أرشيفية قانونية	1.1 المصادر المدعومة	691
F-000171	- تحويل معظم إجراءات الإدارة والعمل اليومي إلى تفاعل مباشر بالسحب والإفلات	1.1 المصادر المدعومة	692
F-000172	- تحويل بيانات إلى إنفوجرافيك	1.1 المصادر المدعومة	693
F-000173	- تحويل بيانات إلى إنفوجرافيك بنقرة واحدة	1.1 المصادر المدعومة	694
F-000174	- تحويل جداول اكسل متعددة إلى مجموعة شرائح	1.1 المصادر المدعومة	695
F-000175	- تحويل التصاميم من يسار لليمين إلى يمين لليسار مع الحفاظ على التصميم	1.1 المصادر المدعومة	696
F-000176	- تحويل لغة مع RTL	1.1 المصادر المدعومة	697
F-000177	- سحب ملف إلى مراسلة أو تقرير لإرفاقه	1.1 المصادر المدعومة	698
F-000178	- مكتبة موحدة للملفات والأصول تدعم جميع أنواع القوالب والعناصر والأيقونات والشعارات	1.1 المصادر المدعومة	699
F-000179	- الوصول للمكتبة من أي محرر في المنصة	1.1 المصادر المدعومة	700
F-000180	- السحب من المكتبة إلى أي وحدة مباشرة	1.1 المصادر المدعومة	701
F-000181	- وسم تلقائي للملفات	1.1 المصادر المدعومة	702
F-000182	- سجل إصدارات لكل أصل	1.1 المصادر المدعومة	703
F-000183	- تتبع الاعتماديات	1.1 المصادر المدعومة	704
F-000184	- إشعارات تحديث تلقائية	1.1 المصادر المدعومة	705
F-000185	- مكتبة خاصة بكل جهة ومكتبة مشتركة عامة	1.1 المصادر المدعومة	706
F-000186	- سير عمل موافقة على الإصدارات	1.1 المصادر المدعومة	707
F-000187	- إعادة استخدام الأصول عبر الوحدات	1.1 المصادر المدعومة	708
F-000188	- تطبيقات بيانات مدعومة بنماذج اللغة الكبيرة	1.1 المصادر المدعومة	709
F-000189	- اتصال البيانات	1.1 المصادر المدعومة	710
F-000190	- التضمين	1.1 المصادر المدعومة	711
F-000191	- النشر السحابي	1.1 المصادر المدعومة	712
F-000192	- نمذجة البيانات	1.1 المصادر المدعومة	713
F-000193	- تحميل البيانات وطرح الأسئلة باللغة الإنجليزية البسيطة.	1.1 المصادر المدعومة	714
F-000194	- تحميل جدول بيانات أو توصيل المستودع.	1.1 المصادر المدعومة	715
F-000195	- توصيل ودمج البيانات من مئات المصادر.	1.1 المصادر المدعومة	716
F-000196	- استيراد الملفات المجدولة كمجموعات بيانات.	1.1 المصادر المدعومة	717
F-000197	- ربط مصادر بيانات متعددة	1.1 المصادر المدعومة	718
F-000198	- استيراد الملفات المجدولة كمجموعات بيانات	1.1 المصادر المدعومة	719
F-000199	- كشف بياناتك المتصلة، التي تزيد قيمتها عن 100 عملية تكامل، من خلال بروتوكول سياق النموذج	1.1 المصادر المدعومة	720
F-000200	- سحب البيانات من الخدمات الشائعة مثل Google و Salesforce مع أكثر من 100 عملية تكامل و 250+ مقياسًا مضمنًا خارج الصندوق	1.1 المصادر المدعومة	721
F-000201	- تكوين عناصر واجهة مستخدم مأهولة مسبقًا بما في ذلك Google Analytics و Facebook Pages و Facebook Ads و Grade.us و SERPs و Moz و Twitter و Mailchimp و Instagram	1.1 المصادر المدعومة	722
F-000202	- استيراد PDF	1.1 المصادر المدعومة	723
F-000203	- استيراد البيانات	1.1 المصادر المدعومة	724
F-000204	- توصيل بيانات شامل	1.1 المصادر المدعومة	725
F-000205	- توصيل بأي مصدر بيانات	1.1 المصادر المدعومة	726
F-000206	- القدرة على العمل مع أنواع ملفات متعددة (Excel, PowerPoint, Word, PDF)	1.1 المصادر المدعومة	727
F-000207	- القدرة على تحليل ما يصل إلى 10 ملفات في محادثة واحدة	1.1 المصادر المدعومة	728
F-000208	- تحليل البيانات من ملفات Excel و CSV و PDF و JSON	1.1 المصادر المدعومة	729
F-000209	- تحليل ملفات كبيرة جدًا لا يمكن فتحها في تطبيقات جداول البيانات	1.1 المصادر المدعومة	730
F-000210	- تحميل الملفات مباشرة من Google Drive و Microsoft OneDrive	1.1 المصادر المدعومة	731
F-000211	- تحويل ملفات CSV و Excel إلى مخططات ولوحات معلومات وجداول زمنية متوافقة مع العلامة التجارية	1.1 المصادر المدعومة	732
F-000212	- دعم أكثر من 25 لغة	1.1 المصادر المدعومة	733
F-000213	- دعم أنواع متعددة من المخططات (شريطية، دائرية، مبعثرة، خطية، إلخ)	1.1 المصادر المدعومة	734
F-000214	- دعم مجموعة واسعة من أنواع المرئيات	1.1 المصادر المدعومة	735
F-000215	- معالجة ملفات CSV و TSV وملفات البيانات الأخرى	1.1 المصادر المدعومة	736
F-000216	- معالجة ملفات PDF الكبيرة (أكبر من 30 ميغابايت)	1.1 المصادر المدعومة	737
F-000217	- إنشاء مستندات Word وملفات PDF	1.1 المصادر المدعومة	738
F-000218	- إنشاء عرض من ملف PDF	1.1 المصادر المدعومة	739
F-000219	- إنشاء عرض تقديمي من رابط (URL)	1.1 المصادر المدعومة	740
F-000220	- إنشاء عرض من بريد إلكتروني عبر Mail Manus	1.1 المصادر المدعومة	741
F-000221	- إنشاء عرض من محادثات Slack	1.1 المصادر المدعومة	742
F-000222	- بحث معمق تلقائي عبر مصادر متعددة (Wide Research)	1.1 المصادر المدعومة	743
F-000223	- التكامل المباشر مع Google Slides وPowerPoint كإضافة	1.1 المصادر المدعومة	744
F-000224	- وحدة استيراد البيانات (Data Ingestion Module)	1.1 المصادر المدعومة	745
F-000225	- ربط مباشر مع أنظمة ERP	1.1 المصادر المدعومة	746
F-000226	- دعم جميع أنواع المصادر (Excel, CSV, TXT, Google Sheets, قواعد بيانات, ملفات مضغوطة, صور, روابط مواقع, APIs)	1.1 المصادر المدعومة	747
F-000227	- فهرسة متعددة المصادر (ملفات، صفحات، تقارير، مراسلات، جداول مخصصة، موصلات)	1.1 المصادر المدعومة	748
F-000228	- دعم ملفات Excel, CSV, TXT, Word, PDF, Images, APIs, DBs	1.1 المصادر المدعومة	749
F-000229	- منصة ERP + Dashboard قوية	1.1 المصادر المدعومة	750
F-000230	- قواعد بيانات	1.1 المصادر المدعومة	751
F-000231	- PDF (منسق / ممسوح ضوئياً)	1.1 المصادر المدعومة	752
F-000232	- روابط مباشرة	1.1 المصادر المدعومة	753
F-000233	- Images (OCR)	1.1 المصادر المدعومة	754
F-000234	- Databases	1.1 المصادر المدعومة	755
F-000235	- لصق رابط موقع واستخراج محتواه	1.1 المصادر المدعومة	756
F-000236	- استيراد ملف powerpoint وتحويله لعرض المنصة	1.1 المصادر المدعومة	757
F-000237	- استيراد مستند word	1.1 المصادر المدعومة	758
F-000238	- البحث في مكتبة unsplash للصور المجانية	1.1 المصادر المدعومة	759
F-000239	- استيراد من google docs	1.1 المصادر المدعومة	760
F-000240	- استيراد من google slides	1.1 المصادر المدعومة	761
F-000241	- استيراد ملف pdf	1.1 المصادر المدعومة	762
F-000242	- الربط بقواعد بيانات	1.1 المصادر المدعومة	763
F-000243	- تصور البيانات تلقائيًا من ملفات CSV وExcel	1.1 المصادر المدعومة	764
F-000244	- دعم مصادر متعددة مثل google drive، instagram، spotify، microsoft word، microsoft excel، microsoft powerpoint، microsoft 365، google forms، youtube، figma، miro، airtable، tiktok، vimeo، wistia، unsplash، loom، google analytics، ideogram 3.0، make.com، tally، jotform، zapier، amplitude، giphy، typeform، calendly، power bi، تضمين موقع ويب وتطبيقات خارجية.	1.1 المصادر المدعومة	765
F-000245	- لا حد أقصى لعدد الملفات المرفوعة	1.2 القدرة الحجمية غير المحدودة	771
F-000246	- لا حد أقصى لعدد الصفوف حتى لو بلغت الملايين	1.2 القدرة الحجمية غير المحدودة	772
F-000247	- معالجة تدريجية دون تجميد الواجهة	1.2 القدرة الحجمية غير المحدودة	773
F-000248	- معالجة متوازية في الخلفية	1.2 القدرة الحجمية غير المحدودة	774
F-000249	- تقسيم ذكي تلقائي للملفات الضخمة	1.2 القدرة الحجمية غير المحدودة	775
F-000250	- تحميل تدريجي للبيانات	1.2 القدرة الحجمية غير المحدودة	776
F-000251	- إشعار عند انتهاء المعالجة	1.2 القدرة الحجمية غير المحدودة	777
F-000252	- استيعاب غير محدود للبيانات وحجم البيانات بلا حدود نظرية	1.2 القدرة الحجمية غير المحدودة	778
F-000253	- لا يوجد بطء حتى مع ملايين الصفوف	1.2 القدرة الحجمية غير المحدودة	779
F-000254	- استيعاب أي عدد من الصفوف (مئات الآلاف – ملايين – بلا حد منطقي)	1.2 القدرة الحجمية غير المحدودة	780
F-000255	- لا حد لعدد الصفوف	1.2 القدرة الحجمية غير المحدودة	781
F-000256	- معالجة ملفات ضخمة دون بطء	1.2 القدرة الحجمية غير المحدودة	782
F-000257	- لا تجميد للواجهة	1.2 القدرة الحجمية غير المحدودة	783
F-000258	- لا حد لعدد الملفات	1.2 القدرة الحجمية غير المحدودة	784
F-000259	- معالجة خلفية متوازية	1.2 القدرة الحجمية غير المحدودة	785
F-000260	- تقسيم ذكي تلقائي للبيانات الضخمة	1.2 القدرة الحجمية غير المحدودة	786
F-000261	- تحليل دون تحميل كامل البيانات في العرض	1.2 القدرة الحجمية غير المحدودة	787
F-000262	- رفع عدد غير محدود من الملفات بأي نوع	1.2 القدرة الحجمية غير المحدودة	788
F-000263	- دعم 10,000+ عملية مستندية متزامنة	1.2 القدرة الحجمية غير المحدودة	789
F-000264	- دعم 50,000 مستخدم متزامن	1.2 القدرة الحجمية غير المحدودة	790
F-000265	- معالجة الملفات الضخمة بتقسيمها إلى أجزاء ومعالجتها بالتوازي	1.2 القدرة الحجمية غير المحدودة	791
F-000266	- تطبيق تنسيق شرطي على الخلايا بناء على قيمها	1.2 القدرة الحجمية غير المحدودة	792
F-000267	- دعم الجداول الضخمة عبر البث التدريجي	1.2 القدرة الحجمية غير المحدودة	793
F-000268	- دعم أوراق تحتوي أكثر من عشرة ملايين صف	1.2 القدرة الحجمية غير المحدودة	794
F-000269	- تقسيم تقييم الخلايا إلى أجزاء	1.2 القدرة الحجمية غير المحدودة	795
F-000270	- عرض الخلايا حسب نطاق الرؤية فقط	1.2 القدرة الحجمية غير المحدودة	796
F-000271	- تحميل الخلايا عند الحاجة فقط	1.2 القدرة الحجمية غير المحدودة	797
F-000272	- تقسيم الحساب على مستوى الأعمدة	1.2 القدرة الحجمية غير المحدودة	798
F-000273	- تنفيذ أوراق متعددة بالتوازي	1.2 القدرة الحجمية غير المحدودة	799
F-000274	- إعادة حساب موزعة على عدة خوادم	1.2 القدرة الحجمية غير المحدودة	800
F-000275	- توسع أفقي لحسابات الجداول	1.2 القدرة الحجمية غير المحدودة	801
F-000276	- إنشاء تقارير من البيانات الضخمة	1.2 القدرة الحجمية غير المحدودة	802
F-000277	- معالجة ملايين الصفوف من البيانات	1.2 القدرة الحجمية غير المحدودة	803
F-000278	- السماح بتحليل مجموعات البيانات الكبيرة.	1.2 القدرة الحجمية غير المحدودة	804
F-000279	- توسيع نطاق مليارات السجلات باستخدام جداول البيانات و SQL و Python والذكاء الاصطناعي.	1.2 القدرة الحجمية غير المحدودة	805
F-000280	- قابلية التوسع للعمليات المتنامية.	1.2 القدرة الحجمية غير المحدودة	806
F-000281	- تحليل مليارات السجلات.	1.2 القدرة الحجمية غير المحدودة	807
F-000282	- تحليل مجموعات البيانات المعقدة.	1.2 القدرة الحجمية غير المحدودة	808
